Country,name,targeting,recipients,trans_usd,trans_lcu,trans_gdp,budget,cost,mechanism,comments,sources,
Armenia,Disability (social) Pension).,Means tested.,"186,384 (2012)",$32 - $45 (2012),"13,000- 18,200 AMD (2012)",12.7%- 17.9%,Unknown,,"Must be assessed with a disability and have less than five years covered employment. Categorized: Disabled Group 1, Group 2, Group 3 and disabled from childhood. A specialized medical committee assesses the degree of disability.","Armenia is about to introduce major changes to the way disabled benefits are assessed, so that people will be categorised according to their ability to work.","Ghazaryan (2012); ISSA (2013); National Statistical Service of the Republic of Armenia (2013), IWPR (2013).",
Azerbaijan,Disability Benefit,Means tested.,"150,800 (2010)",$49 - $77 (2012) ,38.5-60.5  New Manat (2012),7.9%-12.4%,101.5 million Manat - approx $127 million USD (2010),0.240%,Disability benefits are paid irrespective of the reason for disability. The size depends on the correlation to one of three groups of physical disability. 60.5 new manat is paid for a Group I disability and for persons younger than age 18 with disabilities; 44 new manat for a Group II disability; and 38.5 new manat for a Group III disability (ISSA 2012). It includes benefits for disabled children under 18 years of age and children of war veterans or victims of the Chernobyl disaster.,"
","Nazarov (2012), ISSA (2013)",
Bangladesh,Allowance for Financially Insolvent Persons with Disabilities.,Means tested.,"298,000 (2012)",$3.80 (2013),297 BDT (2013),5%,936 million Taka - approx $13 million USD (2010),0.010%,"The five categories consist of hearing, visual, speech, intellectual, and physical impairment. Poor with severe or multiple disabilities and/or children in schools. The disabled beneficiaries of the program must fulfil the following eligibility criteria: (i) annual income not exceeding Taka 24,000; (ii) destitute; (iii) local resident; (iv) above 6 years of age; and, (v) selected by the concerned committee. Aside from these criteria, priority is given to the elderly, homeless, women with multiple disabilities, and poor and intellectually impaired children in economically disadvantaged areas of the country (Islam 2012).
","The Government introduced the Allowance for Financially Insolvent Persons with Disabilities program in 2006 for people with any of the five categories of impairment, as defined by the Bangladesh Protibondhy Kallyan Act of 2001 or the Bangladesh Disability Welfare Act (2001).",Kidd and Khondker (2013); Islam (2012) for ADB.,
Bangladesh 2,Stipend for Students with Disabilities,Theoretically universal according to restrictive criteria. ,"17,000 (2010)",$4-$14 (2010),"300-1,000 Taka (2010)",6.8%-23.9%,80 million Taka - approx $1.1 million USD (2010),0.001%,"The eligibility criteria of disabled beneficiaries are: (i) 5 years and above; (ii) students of government-approved educational institutions at any level; (iii) class attendance of at least 50% in a year; (iv) attendance during annual examinations; (v) possession of registration certificates issued by the district social service offices (Islam, 2012). Beneficiaries at the primary level (grades 1-5) receive a monthly stipend of Taka 300; while beneficiaries at the secondary school level (grades 6 -10) receive Taka 450. Beneficiaries at the higher secondary level and university level receive Taka 600 and Taka 1,000, respectively in 2010 (Islam 2012). ",The Ministry of Social Welfare implemented the stipend program for disabled students in 2008. The main objective of this program is to enable the beneficiaries to continue their education in the specialized and mainstream educational institutions (including religious institutions) from primary to university levels. ,Islam (2012) for ADB.,
Brunei,Universal Disability Pension,Universal.,Not found.,$204 (2012),B$250 (2012),6%,Unknown,,"Must be unable to work, have resided in Brunei in the 10 years immediately before the disability began, and receive suitable medical treatment and rehabilitation - i.e must be prepared to undergo whichever treatment is deemed necessary by medical professionals. Available to all residents of Brunei.",,ISSA (2013),
China 1,Allowance for Wounded Soldiers,Tax financed,6.31 million (2009),,,,"CHY 33,030 million (2009)",0.120%,Not found,The Government issued regulations on compensating disabled soldiers and survivors of dead soldiers. The disabled receive regular allowance while the family of dead soldiers receive ,Zhang (2012) for ADB.,
China 2,Disabiiity Benefits,Social Insurance Programme,Not found,,,,,,The benefit is awarded according to 10 degrees of assessed disability. Medical experts of the Labor Ability Appraisal Committee assess the degree of disability.,"For a moderate permanent disability (degrees 5-6), a lump sum of 18 months of wages (5th degree) or 16 months of wages (6th degree) is paid. If the employer cannot offer the insured an appropriate job, a monthly benefit of 70% (5th degree) or 60% (6th degree) of the insured’s wage before the disability began is paid.",ISSA (2012),
China 3,Government Programs for Disabled Persons,Tax financed,12.6 million (2009),$7.50 per month (2009),CHY 51.2,2%,CHY 7800 million (2009),0.030%,"Medical experts of the Labor Ability Appraisal Committee 
assess the degree of disability.",subsidy.,Zhang (2012) for ADB.,
Georgia,Disability Pension,Universal,"91,932 (2009)",$33 (2009),55 GEL (2009),1610%,"GEL 115 million ($69 million) in 2009
",0.670%,"All disabled persons receive state pension according to the categories: Disabled during World War II , Disabled in April 9, 1989, Disabled in battles for territorial integrity of Georgia, Disabled in battles for territorial integrity of foreign countries, Disabled child, Disabled from childhood, Disabled - World War II (bonus), Injured in the performance of duties, Disabled in the emergency clean-up after Chernobyl nuclear accident, Disabled in the military service, Systemic disease, Occupational trauma, Disabled spouse of the persecuted for political reasons, Disabled child (adopted child) of the persecuted for political reasons.","The majority of disability pension recipients fall under the ‘systematic disease’ category, receiving 
GEL 55 ($33) per month.",Ambroladze (2012),
India,Unemployment allowance for Disabled People (12 states and UT's),Means tested.,Not available.,$1.1 -11.4 (2004),50-500 INR (2004),2%-20.3%,Unknown,,"PWD registered with employment exchanges for two or more years without employment. In 2008, the scheme was extended to all disabled people. Disabled persons family income must be less than 50,000 R per annum.  ","Unemployment allowance schemes are available in 13 States/UTs and allowance amounts vary from Rs. 50 to Rs 500, which can be higher or lower than disability pension amounts depending on the state/UT. However, the majority of governments which have introduced the UA for PWD are either UTs or small north-eastern states (World Bank 2007 and UNDP 2012).","World Bank (2007), UNDP India (2012),  Gooding and Marriott (2009)",
